NAME,CLASS,POLITICS,IN ALBERGHI
LENGUEGLIA,NOBILI,GHIBELLINI,IMPERIALE
"LEONARDI, DE",MERCANTI,GUELFI,
LERCARI,NOBILI,GUELFI,
LERICE,"MERCANTI, ARTEFICI",GUELFI,
LEVANTO,"MERCANTI, ARTEFICI",GHIBELLINI,
"LEVANTO, DE",MERCANTI,GHIBELLINI,"FRANCHI, DE"
LOMELLINI,NOBILI,GUELFI,
LONGHI,MERCANTI,"GHIBELLINI, GUELFI",GIUSTINIANI
LUCIANI,NOBILI,GHIBELLINI,PINELLI
LUSARDO,MERCANTI,GHIBELLINI,"FRANCHI, DE"
LUSSIO,NOBILI,GHIBELLINI,SPINOLA
LUSSIO,NOBILI,GUELFI,"NEGRO, DI"
MAGNASCO,ARTEFICI,GHIBELLINI,
MAGNERRI,MERCANTI,GHIBELLINI,"FRANCHI, DE"
MALABITA,NOBILI,GHIBELLINI,GRILLO
MALONI,NOBILI,GHIBELLINI,CATTANEO
MANGIAVACCHE,NOBILI,GHIBELLINI,IMPERIALE
"MARCHI, DE","MERCANTI, ARTEFICI",GUELFI,
MARCHIONI,NOBILI,GHIBELLINI,CATTANEO
MARENGO,ARTEFICI,GHIBELLINI,
MARGONE,NOBILI,GUELFI,GENTILE
"MARI, DE",NOBILI,GHIBELLINI,
"MARINI, DE",NOBILI,GUELFI,
MARUFFO,MERCANTI,GUELFI,
MARUFFO,MERCANTI,"GHIBELLINI, GUELFI",GIUSTINIANI
MASSA,NOBILI,"GHIBELLINI, GUELFI",CIBO
"MECOTTA, DE",ARTEFICI,GHIBELLINI,
MEREILI,ARTEFICI,GHIBELLINI,
MIGNARDI,NOBILI,"GHIBELLINI, GUELFI",INTERIANO
MILLOMINI,MERCANTI,GHIBELLINI,PROMONTORIO
MOLTEDO,ARTEFICI,GUELFI,
MONEGLIA,"MERCANTI, ARTEFICI",GUELFI,
MONEGLIA,MERCANTI,"GHIBELLINI, GUELFI",GIUSTINIANI
MONGIARDINI,ARTEFICI,GHIBELLINI,
MONLEONE,MERCANTI,GUELFI,
MONSIA,ARTEFICI,GHIBELLINI,
MONTANARO,ARTEFICI,GHIBELLINI,
MORCHIO,"MERCANTI, ARTEFICI",GUELFI,
"MORO, DEL",NOBILI,GHIBELLINI,NIGRONE
MORTARA,ARTEFICI,GHIBELLINI,
MOSCA,MERCANTI,GUELFI,
MOSCA,NOBILI,GHIBELLINI,CICALA
MOSSOLI,NOBILI,GUELFI,LERCARI
MULASANA,ARTEFICI,GHIBELLINI,
MUSSO,NOBILI,GUELFI,"NEGRO, DI"
NAVONE,ARTEFICI,GUELFI,
"NEGRO, DI",NOBILI,GUELFI,
NEPITELLI,NOBILI,GUELFI,LOMELLINI
NEPITELLI,NOBILI,"GHIBELLINI, GUELFI",SALVAGO
NIGRONE,NOBILI,GHIBELLINI,
NOCETO,NOBILI,GHIBELLINI,SPINOLA
NOVELLI,NOBILI,GUELFI,"NEGRO, DI"
ODERICO,"MERCANTI, ARTEFICI",GUELFI,
OLIVA,"MERCANTI, ARTEFICI",GUELFI,
OLIVA,NOBILI,GUELFI,GRIMALDI
OLIVA,NOBILI,GHIBELLINI,CATTANEO
OLIVERIO,MERCANTI,GHIBELLINI,"FRANCHI, DE"
OLIVERIO,MERCANTI,"GHIBELLINI, GUELFI",GIUSTINIANI
OLTREMARINO,NOBILI,GHIBELLINI,CENTURIONE
ONETO,ARTEFICI,GHIBELLINI,
ONZA,ARTEFICI,GHIBELLINI,
OPICELLI,ARTEFICI,GHIBELLINI,
ORLI,NOBILI,GUELFI,CALVI
"PAGANA, DE",MERCANTI,GHIBELLINI,"FRANCHI, DE"
"PAGANA, DI",MERCANTI,"GHIBELLINI, GUELFI",GIUSTINIANI
PALLAVICINI,NOBILI,GHIBELLINI,
PALLAVICINI,NOBILI,GUELFI,GENTILE
PALMARI,MERCANTI,GHIBELLINI,
"PAOLO, DE",MERCANTI,GHIBELLINI,"FRANCHI, DE"
PARISOLA,ARTEFICI,GUELFI,
PASQUA,ARTEFICI,GHIBELLINI,
PASSAGGI,ARTEFICI,GUELFI,
PASSII,NOBILI,GHIBELLINI,IMPERIALE
PASTORINO,ARTEFICI,GHIBELLINI,
PATERI,MERCANTI,GUELFI,
PELISSONE,ARTEFICI,GUELFI,
PENELLI,NOBILI,GUELFI,FIESCHI
PESSAGNO,NOBILI,GUELFI,"MARINI, DE"
PEVERE,NOBILI,GUELFI,GENTILE
PIACENZA,ARTEFICI,GHIBELLINI,
PICCALUGA,ARTEFICI,GHIBELLINI,
PICCAMIGLIO,NOBILI,GHIBELLINI,
PICO,MERCANTI,GHIBELLINI,"FRANCHI, DE"
PIEVE,ARTEFICI,GUELFI,
PIGNATARI,NOBILI,GHIBELLINI,IMPERIALE
PIGNOLO,NOBILI,GUELFI,GENTILE
PINELLI,NOBILI,GHIBELLINI,
POGLIASCO,ARTEFICI,GUELFI,
POLPO,NOBILI,GUELFI,LERCARI
PONTE,ARTEFICI,GHIBELLINI,
PORCI,NOBILI,"GHIBELLINI, GUELFI",SALVAGO
PORRATA,NOBILI,"GHIBELLINI, GUELFI",SALVAGO
"POZZO, DEL",MERCANTI,GUELFI,
PROMONTORIO,MERCANTI,GHIBELLINI,
RAGGI,"MERCANTI, ARTEFICI",GHIBELLINI,
RAPALLO,"MERCANTI, ARTEFICI",GHIBELLINI,
RASILE,NOBILI,"GHIBELLINI, GUELFI",CIBO
RAVASCHIERI,NOBILI,GHIBELLINI,
REBUFFO,ARTEFICI,GUELFI,
RECALCATO,NOBILI,GHIBELLINI,CICALA
RECANELLI,MERCANTI,"GHIBELLINI, GUELFI",GIUSTINIANI
RECCO,ARTEFICI,GHIBELLINI,
RETAGLIARI,NOBILI,GUELFI,"NEGRO, DI"
RICA,NOBILI,GUELFI,GENTILE
RICCI,ARTEFICI,GUELFI,
RICCOBONE,MERCANTI,GUELFI,
RICHEME,ARTEFICI,GUELFI,
RISCOTTI,ARTEFICI,GUELFI,
RIVAROLO,MERCANTI,GHIBELLINI,
ROCCA,"MERCANTI, ARTEFICI",GHIBELLINI,
"ROCCA, DI",MERCANTI,"GHIBELLINI, GUELFI",GIUSTINIANI
"RODO, DE",NOBILI,GHIBELLINI,DORIA
"RODO, DE",NOBILI,GHIBELLINI,CATTANEO
ROGGERI,ARTEFICI,GHIBELLINI,
ROISECCO,MERCANTI,GHIBELLINI,"FRANCHI, DE"
ROMEO,NOBILI,"GHIBELLINI, GUELFI",INTERIANO
ROTTO,ARTEFICI,GUELFI,
ROVERETO,ARTEFICI,GHIBELLINI,
RUFFI,NOBILI,GUELFI,LOMELLINI
"RUSSANO, DE",MERCANTI,GUELFI,
RUSTICI,NOBILI,GUELFI,CALVI
"S. MATTEO, DI",NOBILI,GHIBELLINI,DORIA
"S. PIETRO, DE",ARTEFICI,GHIBELLINI,
"S. SALVATORE, DI",NOBILI,GUELFI,FIESCHI
"S. STEFANO, DE",ARTEFICI,GHIBELLINI,
